tourney_id,tourney_name,tourney_level,tourney_date,winner_id,winner_name,round
1949-1014,Australian Championships,G,19490122,216619,Doris Hart,F
1949-1072,Roland Garros,G,19490518,226449,Margaret Osborne Dupont,F
1949-1092,Wimbledon,G,19490620,223860,Louise Brough,F
1949-1160,US National Championships,G,19490829,226449,Margaret Osborne Dupont,F
1950-1017,Australian Championships,G,19500120,223860,Louise Brough,F
1950-1092,Roland Garros,G,19500519,216619,Doris Hart,F
1950-1121,Wimbledon,G,19500626,223860,Louise Brough,F
1950-1207,US National Championships,G,19500827,226449,Margaret Osborne Dupont,F
1951-1010,Australian Championships,G,19510122,231332,Nancye Wynne Bolton,F
1951-1078,Roland Garros,G,19510523,228156,Shirley Fry,F
1951-1096,Wimbledon,G,19510625,216619,Doris Hart,F
1951-1165,US National Championships,G,19510825,230384,Maureen Connolly,F
1952-1012,Australian Championships,G,19520118,216626,Thelma Long,F
1952-1089,Roland Garros,G,19520520,216619,Doris Hart,F
1952-1122,Wimbledon,G,19520623,230384,Maureen Connolly,F
1952-1203,US National Championships,G,19520829,230384,Maureen Connolly,F
1953-1010,Australian Championships,G,19530108,230384,Maureen Connolly,F
1953-1085,Roland Garros,G,19530520,230384,Maureen Connolly,F
1953-1113,Wimbledon,G,19530622,230384,Maureen Connolly,F
1953-1221,US National Championships,G,19530829,230384,Maureen Connolly,F
1954-1020,Australian Championships,G,19540123,216626,Thelma Long,F
1954-1102,Roland Garros,G,19540518,230384,Maureen Connolly,F
1954-1135,Wimbledon,G,19540621,230384,Maureen Connolly,F
1954-1251,US National Championships,G,19540828,216619,Doris Hart,F
1955-1019,Australian Championships,G,19550121,226922,Beryl Penrose,F
1955-1104,Roland Garros,G,19550523,226357,Angela Mortimer,F
1955-1135,Wimbledon,G,19550620,223860,Louise Brough,F
1955-1221,US National Championships,G,19550902,216619,Doris Hart,F
1956-1022,Australian Championships,G,19560120,226296,Mary Carter Reitano,F
1956-1105,Roland Garros,G,19560515,216636,Althea Gibson,F
1956-1148,Wimbledon,G,19560625,228156,Shirley Fry,F
1956-1257,US National Championships,G,19560901,228156,Shirley Fry,F
1957-1016,Australian Championships,G,19570118,228156,Shirley Fry,F
1957-1095,Roland Garros,G,19570521,201113,Shirley Brasher,F
1957-1130,Wimbledon,G,19570624,216636,Althea Gibson,F
1957-1197,US National Championships,G,19570829,216636,Althea Gibson,F
1958-1016,Australian Championships,G,19580116,226357,Angela Mortimer,F
1958-1090,Roland Garros,G,19580520,212647,Zsuzsa Kormoczy,F
1958-1117,Wimbledon,G,19580623,216636,Althea Gibson,F
1958-1176,US National Championships,G,19580829,216636,Althea Gibson,F
1959-1012,Australian Championships,G,19590116,226296,Mary Carter Reitano,F
1959-1083,Roland Garros,G,19590519,201091,Christine Truman,F
1959-1105,Wimbledon,G,19590622,200848,Maria Bueno,F
1959-1174,US National Championships,G,19590906,200848,Maria Bueno,F
1960-1018,Australian Championships,G,19600122,200144,Margaret Court,F
1960-1097,Roland Garros,G,19600517,201236,Darlene Hard,F
1960-1123,Wimbledon,G,19600620,200848,Maria Bueno,F
1960-1213,US National Championships,G,19600902,201236,Darlene Hard,F
1961-1013,Australian Championships,G,19610120,200144,Margaret Court,F
1961-1086,Roland Garros,G,19610518,200193,Ann Jones,F
1961-1107,Wimbledon,G,19610626,226357,Angela Mortimer,F
1961-1174,US National Championships,G,19610901,201236,Darlene Hard,F
1962-1007,Australian Championships,G,19620105,200144,Margaret Court,F
1962-1087,Roland Garros,G,19620521,200144,Margaret Court,F
1962-1112,Wimbledon,G,19620625,201158,Karen Susman,F
1962-1187,US National Championships,G,19620831,200144,Margaret Court,F
1963-1008,Australian Championships,G,19630110,200144,Margaret Court,F
1963-1093,Roland Garros,G,19630513,200129,Lesley Bowrey,F
1963-1129,Wimbledon,G,19630626,200144,Margaret Court,F
1963-1209,US National Championships,G,19630828,200848,Maria Bueno,F
1964-1012,Australian Championships,G,19640104,200144,Margaret Court,F
1964-1118,Roland Garros,G,19640519,200144,Margaret Court,F
1964-1148,Wimbledon,G,19640622,200848,Maria Bueno,F
1964-1233,US National Championships,G,19640902,200848,Maria Bueno,F
1965-1017,Australian Championships,G,19650122,200144,Margaret Court,F
1965-1109,Roland Garros,G,19650517,200129,Lesley Bowrey,F
1965-1144,Wimbledon,G,19650622,200144,Margaret Court,F
1965-1210,US National Championships,G,19650903,200144,Margaret Court,F
1966-1010,Australian Championships,G,19660121,200144,Margaret Court,F
1966-1066,Roland Garros,G,19660522,200193,Ann Jones,F
1966-1078,Wimbledon,G,19660620,200190,Billie Jean King,F
1966-1126,US National Championships,G,19660901,200848,Maria Bueno,F
1967-1004,Australian Championships,G,19670120,200829,Nancy Richey,F
1967-1005,Roland Garros,G,19670522,200194,Francoise Durr,F
1967-1006,Wimbledon,G,19670626,200190,Billie Jean King,F
1967-1007,US National Championships,G,19670830,200190,Billie Jean King,F
1968-W-SL-AUS-01A-1968,Australian Championships,G,19680119,200190,Billie Jean King,F
1968-W-SL-FRA-01A-1968,Roland Garros,G,19680527,200829,Nancy Richey,F
1968-W-SL-GBR-01A-1968,Wimbledon,G,19680624,200190,Billie Jean King,F
1968-W-SL-USA-01A-1968,US Open,G,19680829,200237,Virginia Wade,F
1969-W-SL-AUS-01A-1969,Australian Open,G,19690120,200144,Margaret Court,F
1969-W-SL-FRA-01A-1969,Roland Garros,G,19690526,200144,Margaret Court,F
1969-W-SL-GBR-01A-1969,Wimbledon,G,19690623,200193,Ann Jones,F
1969-W-SL-USA-01A-1969,US Open,G,19690828,200144,Margaret Court,F
1970-W-SL-AUS-01A-1970,Australian Open,G,19700119,200144,Margaret Court,F
1970-W-SL-GBR-01A-1970,Wimbledon,G,19700622,200144,Margaret Court,F
1970-W-SL-USA-01A-1970,US Open,G,19700902,200144,Margaret Court,F
1970-W-SL-FRA-01A-1970,Roland Garros,G,19700525,200144,Margaret Court,F
1971-W-SL-AUS-01A-1971,Australian Open,G,19710307,200144,Margaret Court,F
1971-W-SL-FRA-01A-1971,Roland Garros,G,19710524,200150,Evonne Cawley,F
1971-W-SL-GBR-01A-1971,Wimbledon,G,19710621,200150,Evonne Cawley,F
1971-W-SL-USA-01A-1971,US Open,G,19710901,200190,Billie Jean King,F
1972-W-SL-AUS-01A-1972,Australian Open,G,19711227,200237,Virginia Wade,F
1972-W-SL-GBR-01A-1972,Wimbledon,G,19720626,200190,Billie Jean King,F
1972-W-SL-USA-01A-1972,US Open,G,19720828,200190,Billie Jean King,F
1972-W-SL-FRA-01A-1972,Roland Garros,G,19720522,200190,Billie Jean King,F
1973-W-SL-AUS-01A-1973,Australian Open,G,19721226,200144,Margaret Court,F
1973-W-SL-FRA-01A-1973,Roland Garros,G,19730521,200144,Margaret Court,F
1973-W-SL-GBR-01A-1973,Wimbledon,G,19730625,200190,Billie Jean King,F
1973-W-SL-USA-01A-1973,US Open,G,19730827,200144,Margaret Court,F
1974-W-SL-AUS-01A-1974,Australian Open,G,19731226,200150,Evonne Cawley,F
1974-W-SL-FRA-01A-1974,Roland Garros,G,19740603,200259,Chris Evert,F
1974-W-SL-GBR-01A-1974,Wimbledon,G,19740624,200259,Chris Evert,F
1974-W-SL-USA-01A-1974,US Open,G,19740828,200190,Billie Jean King,F
1975-W-SL-AUS-01A-1975,Australian Open,G,19741221,200150,Evonne Cawley,F
1975-W-SL-FRA-01A-1975,Roland Garros,G,19750602,200259,Chris Evert,F
1975-W-SL-GBR-01A-1975,Wimbledon,G,19750623,200190,Billie Jean King,F
1975-W-SL-USA-01A-1975,US Open,G,19750827,200259,Chris Evert,F
1976-W-SL-AUS-01A-1976,Australian Open,G,19751226,200150,Evonne Cawley,F
1976-W-SL-FRA-01A-1976,Roland Garros,G,19760531,200266,Sue Barker,F
1976-W-SL-GBR-01A-1976,Wimbledon,G,19760621,200259,Chris Evert,F
1976-W-SL-USA-01A-1976,US Open,G,19760901,200259,Chris Evert,F
1977-W-SL-AUS-01A-1977,Australian Open,G,19770103,200176,Kerry Reid,F
1977-W-SL-AUS-02A-1977,Australian Open 2,G,19771219,200150,Evonne Cawley,F
1977-W-SL-FRA-01A-1977,Roland Garros,G,19770523,200371,Mima Jausovec,F
1977-W-SL-GBR-01A-1977,Wimbledon,G,19770620,200237,Virginia Wade,F
1977-W-SL-USA-01A-1977,US Open,G,19770831,200259,Chris Evert,F
